review_id,product_category,product_name,review_text,star_rating,review_date,verified_purchase
1,Bedroom Furniture,DreamRest Memory Foam Mattress,My DreamRest Memory Foam Mattress arrived well packaged and started working immediately. No issues at all.,5,2024-02-08,False
2,Kitchen Appliances,InstaBrew Coffee Maker,The InstaBrew Coffee Maker itself is fine but the packaging was completely destroyed on arrival.,2,2023-09-11,False
3,Living Room,GlowLight Floor Lamp,My GlowLight Floor Lamp arrived well packaged and started working immediately. No issues at all.,5,2023-07-03,False
4,Living Room,CozySofa L-Shape Sectional,The CozySofa L-Shape Sectional is okay. Does what it says but nothing special. Average quality.,3,2023-06-30,True
5,Kitchen Appliances,TurboBlend Pro 5000,Delivery took 3 weeks and the TurboBlend Pro 5000 box was crushed. Product inside was okay though.,3,2024-09-23,True
6,Living Room,AirPurifier ProMax,SOLID QUALITY AND GREAT VALUE. THE AIRPURIFIER PROMAX FEELS PREMIUM AND PERFORMS EVEN BETTER.,5,2023-04-01,True
7,Kitchen Appliances,SliceMaster Food Processor,The SliceMaster Food Processor arrived on time and works as described. Not great not terrible. !!!!!!,3,2024-05-29,True
8,Bedroom Furniture,DreamRest Memory Foam Mattress,ABSOLUTELY LOVE MY DREAMREST MEMORY FOAM MATTRESS! WORKS PERFECTLY AND ARRIVED ON TIME. WOULD BUY AGAIN.,4,2023-03-31,False
9,Living Room,SmartTV 55in 4K UHD,"The SmartTV 55in 4K UHD is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123",5,2023-02-28,True
10,Bathroom,FoamPure Electric Toothbrush,<p>Trying to return my FoamPure Electric Toothbrush has been a nightmare. No response from customer service.</p>,5,2024-02-15,True
11,Bedroom Furniture,VelvetTouch Duvet Cover,Bought the VelvetTouch Duvet Cover as a gift and the recipient loved it. Excellent build quality.,5,2024-05-27,True
12,Bedroom Furniture,DreamRest Memory Foam Mattress,"The DreamRest Memory Foam Mattress is easy to clean, quiet during operation, and looks great. 5 stars!",5,2023-02-09,True
13,Living Room,SmartTV 55in 4K UHD,Very disappointed. The SmartTV 55in 4K UHD arrived damaged and smells like chemicals. Returning it.,2,2024-06-28,True
14,Bedroom Furniture,NightOwl LED Bedside Lamp,Bought the NightOwl LED Bedside Lamp as a gift and the recipient loved it. Excellent build quality.,5,2024-09-08,True
15,Bathroom,MirrorPro LED Vanity Mirror,Mixed feelings about the MirrorPro LED Vanity Mirror. Setup was easy but performance is mediocre.,3,2024-12-25,True
16,Bathroom,AquaFlow Rainfall Showerhead,Absolutely love my AquaFlow Rainfall Showerhead! Works perfectly and arrived on time. Would buy again.,5,2024-06-16,True
17,Bedroom Furniture,WoodCraft Bed Frame Queen,DO NOT BUY. The WoodCraft Bed Frame Queen stopped working completely. Customer service was useless.,1,2024-12-20,True
18,Bathroom,AquaFlow Rainfall Showerhead,Bought the AquaFlow Rainfall Showerhead as a gift and the recipient loved it. Excellent build quality. https://fakeurl.com/ref123,4,2023-10-13,False
19,Bathroom,AromaSpa Diffuser,"Five stars. The AromaSpa Diffuser is well built, easy to set up, and my whole family loves it.",4,2024-05-30,True
20,Kitchen Appliances,TurboBlend Pro 5000,I was skeptical at first but the TurboBlend Pro 5000 is genuinely impressive. Fast delivery too. !!!!!!,5,2024-09-03,True
21,Bedroom Furniture,WoodCraft Bed Frame Queen,Very disappointed. The WoodCraft Bed Frame Queen arrived damaged and smells like chemicals. Returning it. https://fakeurl.com/ref123,1,2023-08-07,True
22,Living Room,SoundBar X200 Bluetooth,My SoundBar X200 Bluetooth arrived well packaged and started working immediately. No issues at all.,5,2023-11-11,False
23,Bedroom Furniture,VelvetTouch Duvet Cover,My VelvetTouch Duvet Cover arrived well packaged and started working immediately. No issues at all.,5,2023-03-17,True
24,Living Room,GlowLight Floor Lamp,"THE GLOWLIGHT FLOOR LAMP IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT. 5 STARS!",4,2024-12-14,True
25,Kitchen Appliances,CrispAir Fryer XL,The CrispAir Fryer XL is okay. Does what it says but nothing special. Average quality.,4,2023-09-01,True
26,Living Room,CozySofa L-Shape Sectional,I was skeptical at first but the CozySofa L-Shape Sectional is genuinely impressive. Fast delivery too.,5,2024-07-05,True
27,Living Room,AirPurifier ProMax,The AirPurifier ProMax emits a strange chemical smell when running. Cannot use it safely indoors.,1,2023-10-23,True
28,Kitchen Appliances,InstaBrew Coffee Maker,Outstanding product. The InstaBrew Coffee Maker has made my daily routine so much easier. Thank you!,4,2023-09-06,True
29,Bathroom,AromaSpa Diffuser,Bought the AromaSpa Diffuser as a gift and the recipient loved it. Excellent build quality.,5,2023-05-04,True
30,Bedroom Furniture,NightOwl LED Bedside Lamp,"Five stars. The NightOwl LED Bedside Lamp is well built, easy to set up, and my whole family loves it.",5,2023-10-05,False
31,Living Room,SmartTV 55in 4K UHD,Outstanding product. The SmartTV 55in 4K UHD has made my daily routine so much easier. Thank you!,4,2023-10-06,True
32,Living Room,AirPurifier ProMax,Outstanding product. The AirPurifier ProMax has made my daily routine so much easier. Thank you!,5,2023-01-14,True
33,Kitchen Appliances,TurboBlend Pro 5000,<p>Great product. The TurboBlend Pro 5000 exceeded my expectations in every way. Highly recommend!</p>,4,2023-03-23,False
34,Living Room,GlowLight Floor Lamp,The GlowLight Floor Lamp itself is fine but the packaging was completely destroyed on arrival. https://fakeurl.com/ref123,3,2023-11-07,True
35,Bathroom,SoftTouch Luxury Towel Set,<p>Solid quality and great value. The SoftTouch Luxury Towel Set feels premium and performs even better.</p>,5,2023-07-20,True
36,Bedroom Furniture,WoodCraft Bed Frame Queen,OUTSTANDING PRODUCT. THE WOODCRAFT BED FRAME QUEEN HAS MADE MY DAILY ROUTINE SO MUCH EASIER. THANK YOU!,5,2024-03-31,True
