review_id,product_category,product_name,review_text,star_rating,review_date,verified_purchase
1502,Living Room,SoundBar X200 Bluetooth,"Five stars. The SoundBar X200 Bluetooth is well built, easy to set up, and my whole family loves it.",4,2023-07-26,True
2587,Living Room,SmartTV 55in 4K UHD,Absolutely love my SmartTV 55in 4K UHD! Works perfectly and arrived on time. Would buy again.,4,2023-12-26,True
2654,Bathroom,AquaFlow Rainfall Showerhead,"The AquaFlow Rainfall Showerhead is easy to clean, quiet during operation, and looks great. 5 stars!",4,2024-09-12,False
1056,Bedroom Furniture,DreamRest Memory Foam Mattress,I was skeptical at first but the DreamRest Memory Foam Mattress is genuinely impressive. Fast delivery too.,5,2023-10-17,True
706,Bedroom Furniture,CloudPillow Set (2-pack),I was skeptical at first but the CloudPillow Set (2-pack) is genuinely impressive. Fast delivery too.,4,2024-12-08,True
107,Bedroom Furniture,WoodCraft Bed Frame Queen,Very disappointed. The WoodCraft Bed Frame Queen arrived damaged and smells like chemicals. Returning it.,2,2023-10-06,True
590,Living Room,SmartTV 55in 4K UHD,Great product. The SmartTV 55in 4K UHD exceeded my expectations in every way. Highly recommend!,5,2023-03-21,True
2469,Bathroom,MirrorPro LED Vanity Mirror,My MirrorPro LED Vanity Mirror arrived well packaged and started working immediately. No issues at all.,5,2023-07-30,False
2414,Bedroom Furniture,VelvetTouch Duvet Cover,My VelvetTouch Duvet Cover arrived well packaged and started working immediately. No issues at all.,4,2023-09-16,True
1601,Bathroom,AquaFlow Rainfall Showerhead,<p>Very disappointed. The AquaFlow Rainfall Showerhead arrived damaged and smells like chemicals. Returning it.</p>,2,2024-05-31,True
2465,Bedroom Furniture,CloudPillow Set (2-pack),Delivery took 3 weeks and the CloudPillow Set (2-pack) box was crushed. Product inside was okay though.,3,2024-02-18,True
229,Bathroom,FoamPure Electric Toothbrush,Best purchase I made this year. The FoamPure Electric Toothbrush works exactly as advertised. Very happy.,5,2023-07-07,True
916,Living Room,SoundBar X200 Bluetooth,Great product. The SoundBar X200 Bluetooth exceeded my expectations in every way. Highly recommend!,5,2023-02-08,True
795,Bathroom,FoamPure Electric Toothbrush,Bought the FoamPure Electric Toothbrush as a gift and the recipient loved it. Excellent build quality.,4,2024-02-14,True
3022,Bedroom Furniture,NightOwl LED Bedside Lamp,I wanted to love this but the NightOwl LED Bedside Lamp died in week one. Warranty claim was denied. !!!!!!,2,2023-02-27,True
3544,Bedroom Furniture,CloudPillow Set (2-pack),<p>The CloudPillow Set (2-pack) itself is fine but the packaging was completely destroyed on arrival.</p>,2,2024-09-23,True
1074,Kitchen Appliances,TurboBlend Pro 5000,Outstanding product. The TurboBlend Pro 5000 has made my daily routine so much easier. Thank you!,4,2023-07-12,True
3352,Bathroom,MirrorPro LED Vanity Mirror,"Five stars. The MirrorPro LED Vanity Mirror is well built, easy to set up, and my whole family loves it.",5,2023-11-12,False
1745,Living Room,GlowLight Floor Lamp,My GlowLight Floor Lamp arrived well packaged and started working immediately. No issues at all.,5,2023-04-10,True
1085,Kitchen Appliances,InstaBrew Coffee Maker,DO NOT BUY. The InstaBrew Coffee Maker stopped working completely. Customer service was useless. https://fakeurl.com/ref123,1,2024-05-08,True
927,Living Room,AirPurifier ProMax,I WAS SKEPTICAL AT FIRST BUT THE AIRPURIFIER PROMAX IS GENUINELY IMPRESSIVE. FAST DELIVERY TOO.,4,2023-01-22,True
3050,Kitchen Appliances,SteamKing Rice Cooker,Great product. The SteamKing Rice Cooker exceeded my expectations in every way. Highly recommend!,5,2023-10-29,False
1118,Bedroom Furniture,NightOwl LED Bedside Lamp,<p>It is a fine product. The NightOwl LED Bedside Lamp gets the job done but I expected better quality.</p>,3,2023-11-30,False
643,Living Room,AirPurifier ProMax,I WAS SKEPTICAL AT FIRST BUT THE AIRPURIFIER PROMAX IS GENUINELY IMPRESSIVE. FAST DELIVERY TOO.,4,2024-02-08,True
4768,Living Room,CozySofa L-Shape Sectional,Bought the CozySofa L-Shape Sectional as a gift and the recipient loved it. Excellent build quality.,4,2023-07-25,True
502,Bedroom Furniture,DreamRest Memory Foam Mattress,THE DREAMREST MEMORY FOAM MATTRESS IS FUNCTIONAL BUT THE INSTRUCTIONS ARE CONFUSING. TOOK A WHILE TO SET UP.,3,2024-02-23,True
4067,Bedroom Furniture,CloudPillow Set (2-pack),My CloudPillow Set (2-pack) arrived well packaged and started working immediately. No issues at all.,5,2024-05-30,True
334,Living Room,AirPurifier ProMax,Terrible quality. My AirPurifier ProMax broke after just 2 weeks of normal use!!!,1,2023-01-10,False
4685,Living Room,GlowLight Floor Lamp,Best purchase I made this year. The GlowLight Floor Lamp works exactly as advertised. Very happy.,5,2023-07-30,True
487,Bedroom Furniture,DreamRest Memory Foam Mattress,<p>I was skeptical at first but the DreamRest Memory Foam Mattress is genuinely impressive. Fast delivery too.</p>,4,2023-04-17,True
1963,Bathroom,AquaFlow Rainfall Showerhead,I was skeptical at first but the AquaFlow Rainfall Showerhead is genuinely impressive. Fast delivery too.,5,2023-04-23,True
394,Bathroom,SoftTouch Luxury Towel Set,<p>Best purchase I made this year. The SoftTouch Luxury Towel Set works exactly as advertised. Very happy.</p>,5,2023-03-24,True
4843,Kitchen Appliances,SteamKing Rice Cooker,DO NOT BUY. The SteamKing Rice Cooker stopped working completely. Customer service was useless.,2,2023-10-24,True
4867,Bedroom Furniture,DreamRest Memory Foam Mattress,THE DREAMREST MEMORY FOAM MATTRESS IS FUNCTIONAL BUT THE INSTRUCTIONS ARE CONFUSING. TOOK A WHILE TO SET UP.,3,2024-10-02,True
1756,Kitchen Appliances,CrispAir Fryer XL,Terrible quality. My CrispAir Fryer XL broke after just 2 weeks of normal use!!!,1,2023-09-28,True
2516,Bedroom Furniture,NightOwl LED Bedside Lamp,Great product. The NightOwl LED Bedside Lamp exceeded my expectations in every way. Highly recommend!,4,2023-12-27,True
3586,Kitchen Appliances,CrispAir Fryer XL,It is a fine product. The CrispAir Fryer XL gets the job done but I expected better quality.,3,2023-06-24,False
4316,Bathroom,SoftTouch Luxury Towel Set,Great product. The SoftTouch Luxury Towel Set exceeded my expectations in every way. Highly recommend!,5,2024-10-05,True
4967,Bedroom Furniture,CloudPillow Set (2-pack),Outstanding product. The CloudPillow Set (2-pack) has made my daily routine so much easier. Thank you!,5,2023-05-24,True
2100,Kitchen Appliances,InstaBrew Coffee Maker,MY INSTABREW COFFEE MAKER ARRIVED WELL PACKAGED AND STARTED WORKING IMMEDIATELY. NO ISSUES AT ALL.,5,2023-12-11,True
3600,Living Room,AirPurifier ProMax,OUTSTANDING PRODUCT. THE AIRPURIFIER PROMAX HAS MADE MY DAILY ROUTINE SO MUCH EASIER. THANK YOU!,4,2023-04-12,True
4122,Bathroom,FoamPure Electric Toothbrush,I was skeptical at first but the FoamPure Electric Toothbrush is genuinely impressive. Fast delivery too.,5,2024-05-09,False
30,Bedroom Furniture,NightOwl LED Bedside Lamp,"Five stars. The NightOwl LED Bedside Lamp is well built, easy to set up, and my whole family loves it.",5,2023-10-05,False
66,Bedroom Furniture,DreamRest Memory Foam Mattress,Great product. The DreamRest Memory Foam Mattress exceeded my expectations in every way. Highly recommend! https://fakeurl.com/ref123,5,2023-02-16,False
839,Kitchen Appliances,SteamKing Rice Cooker,THE STEAMKING RICE COOKER IS OKAY. DOES WHAT IT SAYS BUT NOTHING SPECIAL. AVERAGE QUALITY.,4,2023-07-02,False
3907,Bathroom,AromaSpa Diffuser,Absolutely love my AromaSpa Diffuser! Works perfectly and arrived on time. Would buy again.,4,2024-02-01,False
3774,Kitchen Appliances,InstaBrew Coffee Maker,Waste of money. The InstaBrew Coffee Maker motor makes a horrible grinding noise from day one.,1,2024-03-06,False
4636,Bathroom,AromaSpa Diffuser,Solid quality and great value. The AromaSpa Diffuser feels premium and performs even better.,5,2023-07-26,True
3162,Bedroom Furniture,WoodCraft Bed Frame Queen,Waste of money. The WoodCraft Bed Frame Queen motor makes a horrible grinding noise from day one.,2,2024-06-17,True
2660,Kitchen Appliances,SteamKing Rice Cooker,Great product. The SteamKing Rice Cooker exceeded my expectations in every way. Highly recommend!,5,2023-07-14,True
4616,Bedroom Furniture,CloudPillow Set (2-pack),Bought the CloudPillow Set (2-pack) as a gift and the recipient loved it. Excellent build quality.,4,2023-03-30,True
4629,Bathroom,FoamPure Electric Toothbrush,It is a fine product. The FoamPure Electric Toothbrush gets the job done but I expected better quality. !!!!!!,3,2024-07-02,False
2452,Living Room,SoundBar X200 Bluetooth,THE SOUNDBAR X200 BLUETOOTH IS OKAY. DOES WHAT IT SAYS BUT NOTHING SPECIAL. AVERAGE QUALITY.,3,2023-03-14,False
2847,Bedroom Furniture,CloudPillow Set (2-pack),Very disappointed. The CloudPillow Set (2-pack) arrived damaged and smells like chemicals. Returning it. !!!!!!,1,2024-02-16,True
1145,Bathroom,AquaFlow Rainfall Showerhead,Great product. The AquaFlow Rainfall Showerhead exceeded my expectations in every way. Highly recommend!,5,2023-07-11,True
3079,Bedroom Furniture,DreamRest Memory Foam Mattress,Outstanding product. The DreamRest Memory Foam Mattress has made my daily routine so much easier. Thank you!,5,2024-06-26,False
1104,Bathroom,AquaFlow Rainfall Showerhead,Waste of money. The AquaFlow Rainfall Showerhead motor makes a horrible grinding noise from day one. !!!!!!,2,2023-08-04,True
169,Living Room,SmartTV 55in 4K UHD,"The SmartTV 55in 4K UHD is easy to clean, quiet during operation, and looks great. 5 stars!",5,2023-05-05,False
1671,Kitchen Appliances,InstaBrew Coffee Maker,Best purchase I made this year. The InstaBrew Coffee Maker works exactly as advertised. Very happy.,5,2023-10-15,True
