llm_sentiment,llm_confidence,llm_key_issue,llm_is_safety,review_id
Positive,0.99,,FALSE,1502
Positive,0.99,,FALSE,2587
Positive,0.99,,FALSE,2654
Positive,0.95,,FALSE,1056
Positive,0.95,,FALSE,706
Negative,0.98,damaged product and chemical odor,TRUE,107
Positive,0.99,,FALSE,590
Positive,0.98,,FALSE,2469
Positive,0.98,,FALSE,2414
Negative,0.98,damaged product and chemical odor,TRUE,1601
Neutral,0.85,delayed delivery and damaged packaging,FALSE,2465
Positive,0.99,,FALSE,229
Positive,0.99,,FALSE,916
Positive,0.98,,FALSE,795
Negative,0.98,product failure and warranty denial,FALSE,3022
Neutral,0.75,damaged packaging,FALSE,3544
Positive,0.99,,FALSE,1074
Positive,0.99,,FALSE,3352
Positive,0.98,,FALSE,1745
Negative,0.99,product failure and poor customer service,FALSE,1085
