review_id,product_category,product_name,review_text,star_rating,review_date,verified_purchase,text_for_topics,text_for_sentiment,sentiment,predicted_stars,confidence,actual_sentiment,extractive_summary,abstractive_summary,dominant_topic,topic_confidence,topic_label
1,Bedroom Furniture,DreamRest Memory Foam Mattress,My DreamRest Memory Foam Mattress arrived well packaged and started working immediately. No issues at all.,5,2024-02-08,False,dreamr memory foam mattress arrive package start work immediately issue,my dreamrest memory foam mattress arrived well packaged and started working immediately . no issues at all .,Positive,5,0.7864094972610474,Positive,My DreamRest Memory Foam Mattress arrived well packaged and started working immediately.,My DreamRest Memory Foam Mattress arrived well packaged and started working immediately. No issues at all.,0,0.6007360720440108,Delivery & Arrival
2,Kitchen Appliances,InstaBrew Coffee Maker,The InstaBrew Coffee Maker itself is fine but the packaging was completely destroyed on arrival.,2,2023-09-11,False,instabrew coffee maker fine packaging completely destroy arrival,the instabrew coffee maker itself is fine but the packaging was completely destroyed on arrival .,Negative,2,0.4229776263236999,Negative,The InstaBrew Coffee Maker itself is fine but the packaging was completely destroyed on arrival.,The InstaBrew Coffee Maker itself is fine but the packaging was completely destroyed on arrival.,2,0.6066650195809097,Daily Use Satisfaction
3,Living Room,GlowLight Floor Lamp,My GlowLight Floor Lamp arrived well packaged and started working immediately. No issues at all.,5,2023-07-03,False,glowlight floor lamp arrive package start work immediately issue,my glowlight floor lamp arrived well packaged and started working immediately . no issues at all .,Positive,5,0.7863388657569885,Positive,My GlowLight Floor Lamp arrived well packaged and started working immediately.,My GlowLight Floor Lamp arrived well packaged and started working immediately. No issues at all.,0,0.6649938722656037,Delivery & Arrival
4,Living Room,CozySofa L-Shape Sectional,The CozySofa L-Shape Sectional is okay. Does what it says but nothing special. Average quality.,3,2023-06-30,True,cozysofa l shape sectional okay say special average quality,the cozysofa l - shape sectional is okay . does what it says but nothing special . average quality .,Neutral,3,0.8200406432151794,Neutral,The CozySofa L-Shape Sectional is okay.,The CozySofa L-Shape Sectional is okay. Does what it says but nothing special. Average quality.,8,0.6066652234698591,Recommendation & Value
5,Kitchen Appliances,TurboBlend Pro 5000,Delivery took 3 weeks and the TurboBlend Pro 5000 box was crushed. Product inside was okay though.,3,2024-09-23,True,delivery take 3 week turboblend pro 5000 box crush product inside okay,delivery took 3 weeks and the turboblend pro 5000 box was crushed . product inside was okay though .,Negative,2,0.4065166711807251,Neutral,Delivery took 3 weeks and the TurboBlend Pro 5000 box was crushed.,Delivery took 3 weeks and the TurboBlend Pro 5000 box was crushed. Product inside was okay though.,6,0.9549985126217503,Furniture & Frames
6,Living Room,AirPurifier ProMax,SOLID QUALITY AND GREAT VALUE. THE AIRPURIFIER PROMAX FEELS PREMIUM AND PERFORMS EVEN BETTER.,5,2023-04-01,True,solid quality great value airpurifier promax feel premium perform well,solid quality and great value . the airpurifier promax feels premium and performs even better .,Positive,5,0.8652880191802979,Positive,THE AIRPURIFIER PROMAX FEELS PREMIUM AND PERFORMS EVEN BETTER.,SOLID QUALITY AND GREAT VALUE. THE AIRPURIFIER PROMAX FEELS PREMIUM AND PERFORMS EVEN BETTER.,4,0.9549976935559119,Build Quality
7,Kitchen Appliances,SliceMaster Food Processor,The SliceMaster Food Processor arrived on time and works as described. Not great not terrible. !!!!!!,3,2024-05-29,True,slicemaster food processor arrive time work describe great terrible,the slicemaster food processor arrived on time and works as described . not great not terrible . ! ! ! ! ! !,Neutral,3,0.5795134902000427,Neutral,The SliceMaster Food Processor arrived on time and works as described.,The SliceMaster Food Processor arrived on time and works as described. Not great not terrible. !!!!!!,4,0.36142246173434717,Build Quality
8,Bedroom Furniture,DreamRest Memory Foam Mattress,ABSOLUTELY LOVE MY DREAMREST MEMORY FOAM MATTRESS! WORKS PERFECTLY AND ARRIVED ON TIME. WOULD BUY AGAIN.,4,2023-03-31,False,absolutely love dreamr memory foam mattress work perfectly arrive time buy,absolutely love my dreamrest memory foam mattress ! works perfectly and arrived on time . would buy again .,Positive,5,0.962336540222168,Positive,WORKS PERFECTLY AND ARRIVED ON TIME.,ABSOLUTELY LOVE MY DREAMREST MEMORY FOAM MATTRESS! WORKS PERFECTLY AND ARRIVED ON TIME. WOULD BUY AGAIN.,0,0.6312037035330279,Delivery & Arrival
9,Living Room,SmartTV 55in 4K UHD,"The SmartTV 55in 4K UHD is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123",5,2023-02-28,True,smarttv 55 4k uhd easy clean quiet operation look great 5 star,"the smarttv 55 in 4k uhd is easy to clean , quiet during operation , and looks great . 5 stars !",Positive,5,0.9847724437713624,Positive,"The SmartTV 55in 4K UHD is easy to clean, quiet during operation, and looks great.","The SmartTV 55in 4K UHD is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123",4,0.5407879104573489,Build Quality
10,Bathroom,FoamPure Electric Toothbrush,<p>Trying to return my FoamPure Electric Toothbrush has been a nightmare. No response from customer service.</p>,5,2024-02-15,True,try return foampure electric toothbrush nightmare response customer service,trying to return my foampure electric toothbrush has been a nightmare . no response from customer service .,Negative,1,0.877406120300293,Positive,<p>Trying to return my FoamPure Electric Toothbrush has been a nightmare.,<p>Trying to return my FoamPure Electric Toothbrush has been a nightmare. No response from customer service.</p>,7,0.6312495832724669,Mattress & Comfort
11,Bedroom Furniture,VelvetTouch Duvet Cover,Bought the VelvetTouch Duvet Cover as a gift and the recipient loved it. Excellent build quality.,5,2024-05-27,True,buy velvettouch duvet cover gift recipient love excellent build quality,bought the velvettouch duvet cover as a gift and the recipient loved it . excellent build quality .,Positive,5,0.8841992020606995,Positive,Bought the VelvetTouch Duvet Cover as a gift and the recipient loved it.,Bought the VelvetTouch Duvet Cover as a gift and the recipient loved it. Excellent build quality.,4,0.6640058472302224,Build Quality
12,Bedroom Furniture,DreamRest Memory Foam Mattress,"The DreamRest Memory Foam Mattress is easy to clean, quiet during operation, and looks great. 5 stars!",5,2023-02-09,True,dreamr memory foam mattress easy clean quiet operation look great 5 star,"the dreamrest memory foam mattress is easy to clean , quiet during operation , and looks great . 5 stars !",Positive,5,0.9841893315315248,Positive,"The DreamRest Memory Foam Mattress is easy to clean, quiet during operation, and looks great.","The DreamRest Memory Foam Mattress is easy to clean, quiet during operation, and looks great. 5 stars!",4,0.6409081715094942,Build Quality
