product_features,problems,praise,mentioned_timeframe,review_id
"['Bluetooth', 'build quality', 'setup process']",[],"['well built', 'easy to set up', 'family loves it']",,1502
"['55in', '4K UHD', 'SmartTV']",[],"['Works perfectly', 'Arrived on time']",,2587
"['easy to clean', 'quiet during operation', 'appearance']",[],"['easy to clean', 'quiet during operation', 'looks great', '5 stars rating']",,2654
"['memory foam', 'delivery']",[],"['genuinely impressive', 'fast delivery']",,1056
"['CloudPillow Set', '2-pack']",[],"['genuinely impressive', 'fast delivery']",,706
['WoodCraft Bed Frame Queen'],"['arrived damaged', 'smells like chemicals']",[],,107
"['SmartTV', '55in', '4K UHD']",[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,590
"['packaging', 'LED Vanity Mirror']",[],"['well packaged', 'started working immediately', 'no issues']",,2469
"['packaging', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,2414
['AquaFlow Rainfall Showerhead'],"['arrived damaged', 'smells like chemicals']",[],,1601
"['CloudPillow Set', '2-pack']","['Delivery took 3 weeks', 'box was crushed']",['Product inside was okay'],3 weeks,2465
['FoamPure Electric Toothbrush'],[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,229
['Bluetooth'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,916
['build quality'],[],"['excellent build quality', 'loved it']",,795
"['LED', 'Bedside Lamp', 'Warranty']","['died in week one', 'Warranty claim was denied']",[],week one,3022
"['packaging', 'CloudPillow Set', '2-pack']",['packaging was completely destroyed on arrival'],['CloudPillow Set itself is fine'],,3544
['TurboBlend Pro 5000'],[],"['Outstanding product', 'made my daily routine so much easier']",,1074
"['LED', 'build quality', 'setup process']",[],"['well built', 'easy to set up', 'family loves it']",,3352
"['packaging', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,1745
['customer service'],"['stopped working completely', 'customer service was useless']",[],,1085
['delivery'],[],"['air purifier promax', 'fast delivery', 'genuinely impressive']",,927
['SteamKing Rice Cooker'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,3050
"['LED', 'Bedside Lamp']",['expected better quality'],"['fine product', 'gets the job done']",,1118
['delivery'],[],"['air purifier promax', 'fast delivery', 'genuinely impressive']",,643
"['build quality', 'L-Shape', 'Sectional']",[],"['excellent build quality', 'loved it']",,4768
"['memory foam', 'instructions', 'setup']","['instructions are confusing', 'took a while to set up']",['functional'],,502
"['packaging', '2-pack']",[],"['well packaged', 'started working immediately', 'no issues']",,4067
"['quality', 'AirPurifier ProMax']",['broke'],[],2 weeks,334
"['GlowLight', 'Floor Lamp']",[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,4685
"['memory foam', 'delivery']",[],"['impressive', 'fast delivery']",,487
['delivery'],[],"['AquaFlow Rainfall Showerhead', 'fast delivery', 'genuinely impressive']",,1963
['SoftTouch Luxury Towel Set'],[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,394
['customer service'],"['stopped working completely', 'customer service was useless']",[],,4843
"['memory foam', 'instructions', 'setup']","['instructions are confusing', 'took a while to set up']",['functional'],,4867
"['quality', 'CrispAir Fryer XL']",['broke'],[],2 weeks,1756
